23301#Hà Nội
23302#Ha Giang
23303#Cao Bang
23304#Bac Kan
23305#Tuyen Quang
23306#Lao Cai
23307#Dien Bien
23308#Lai Chau
23309#Son La
23310#Yen Bai
23311#Hoa Binh
23312#Thai Nguyen
23313#Lang Son
23314#Quang Ninh
23315#Bac Giang
23316#Phu Tho
23317#Vinh Phuc
23318#Bac Ninh
23319#Hai Duong
23320#Hải Phòng
23321#Hung Yen
23322#Thai Binh
23323#Ha Nam
23324#Nam Dinh
23325#Ninh Binh
23326#Thanh Hoa
23327#Nghe An
23328#Ha Tinh
23329#Quang Binh
23330#Quang Tri
23331#Thua Thien-Hue
23332#Đà Nẵng
23333#Quang Nam
23334#Quang Ngai
23335#Binh Dinh
23336#Phu Yen
23337#Khanh Hoa
23338#Ninh Thuan
23339#Binh Thuan
23340#Kon Tum
23341#Gia Lai
23342#Dak Lak
23343#Dak Nong
23344#Lam Dong
23345#Binh Phuoc
23346#Tay Ninh
23347#Binh Duong
23348#Dong Nai
23349#Ba Ria–Vung Tau
23350#Thành phố Hồ Chí Minh
23351#Long An
23352#Tien Giang
23353#Ben Tre
23354#Tra Vinh
23355#Vinh Long
23356#Dong Thap
23357#An Giang
23358#Kien Giang
23359#Cần Thơ
23360#Hau Giang
23361#Soc Trang
23362#Bac Lieu
23363#Ca Mau
